ID,abs_rel,sq_rel,rmse,rmse_log,d1,d2,d3
unlimited,0.320,4.869,9.618,0.332,0.624,0.846,0.932,2.421
proxy_dpth,0.534,15.897,19.610,0.480,0.447,0.677,0.824,3.494
15m,0.137,0.246,1.489,0.145,0.914,0.990,0.998,0.980
25m,0.185,0.687,2.921,0.199,0.775,0.967,0.992,1.389
50m,0.273,2.672,6.595,0.288,0.654,0.882,0.960,2.064
80m,0.320,4.869,9.618,0.332,0.624,0.846,0.932,2.421
