ID,abs_rel,sq_rel,rmse,rmse_log,d1,d2,d3
unlimited,0.312,4.421,9.400,0.323,0.619,0.852,0.937,2.337
proxy_dpth,0.504,14.448,19.284,0.463,0.454,0.683,0.830,3.395
15m,0.144,0.266,1.552,0.151,0.901,0.991,0.998,1.025
25m,0.189,0.702,2.941,0.202,0.762,0.966,0.993,1.398
50m,0.268,2.447,6.426,0.282,0.649,0.887,0.963,2.001
80m,0.312,4.421,9.399,0.323,0.619,0.852,0.937,2.337
