ID,abs_rel,sq_rel,rmse,rmse_log,d1,d2,d3
unlimited,0.152,1.987,7.905,0.248,0.785,0.905,0.958,2.262
proxy_dpth,0.256,5.667,13.675,0.341,0.639,0.820,0.917,3.110
15m,0.057,0.095,0.847,0.081,0.959,0.986,0.996,1.238
25m,0.082,0.286,1.950,0.129,0.912,0.971,0.990,1.730
50m,0.129,1.130,5.056,0.209,0.824,0.930,0.971,2.113
80m,0.151,1.958,7.767,0.246,0.786,0.906,0.959,2.262
