ID,abs_rel,sq_rel,rmse,rmse_log,d1,d2,d3
unlimited,0.289,3.876,9.060,0.307,0.641,0.865,0.946,2.264
proxy_dpth,0.454,12.200,18.447,0.436,0.468,0.704,0.855,3.289
15m,0.137,0.243,1.494,0.145,0.916,0.992,0.999,1.045
25m,0.178,0.621,2.817,0.193,0.787,0.973,0.994,1.397
50m,0.249,2.141,6.177,0.268,0.672,0.900,0.970,1.948
80m,0.289,3.876,9.060,0.307,0.641,0.865,0.946,2.264
