Wall time,Step,Value
1777678113.805793,0,0.32823628187179565
1777678115.812875,1,0.3333885371685028
1777678117.578552,2,0.30502358078956604
1777678119.268939,3,0.32081684470176697
1777678121.281735,4,0.3282180726528168
1777678123.3185658,5,0.35726824402809143
1777678125.2477472,6,0.3559235632419586
1777678127.360399,7,0.3054306209087372
1777678129.246558,8,0.3553469479084015
1777678130.95916,9,0.30211544036865234
1777678132.9950662,10,0.3621774911880493
1777678134.989353,11,0.370829701423645
1777678136.9038458,12,0.30817097425460815
1777678138.870386,13,0.3247391879558563
1777678140.7432792,14,0.32236766815185547
1777678142.520214,15,0.3227428197860718
1777678144.5792792,16,0.3457461893558502
1777678146.561342,17,0.3564809560775757
1777678148.47921,18,0.3505138158798218
1777678150.4549382,19,0.35042324662208557
1777678152.241628,20,0.32891371846199036
1777678154.002662,21,0.3616647720336914
1777678156.026881,22,0.3344305157661438
1777678158.064329,23,0.3029429316520691
1777678159.9941802,24,0.33052366971969604
1777678161.828834,25,0.34994593262672424
1777678163.6202931,26,0.35510188341140747
1777678165.646272,27,0.3338033854961395
1777678167.926482,28,0.33648207783699036
1777678170.051061,29,0.3562602996826172
1777678172.077269,30,0.34163933992385864
1777678173.9273689,31,0.3286793828010559
1777678175.713599,32,0.3497730493545532
1777678177.834375,33,0.3544069826602936
1777678179.909209,34,0.3538830876350403
1777678181.8996968,35,0.37596994638442993
1777678184.368125,36,0.3902449607849121
1777678186.309332,37,0.37686318159103394
1777678188.0949278,38,0.36531075835227966
1777678190.1518521,39,0.3632863759994507
1777678192.191372,40,0.3496284782886505
1777678194.3769002,41,0.32393425703048706
1777678196.377933,42,0.3628290593624115
1777678198.222601,43,0.3587190806865692
1777678200.011751,44,0.31978508830070496
1777678202.098644,45,0.35242921113967896
1777678204.147049,46,0.34358835220336914
1777678206.073565,47,0.41057637333869934
1777678207.963169,48,0.39935705065727234
1777678209.74233,49,0.3634205460548401
1777678211.818463,50,0.3586346507072449
1777678213.82935,51,0.3456880450248718
1777678215.7856488,52,0.3756641447544098
1777678217.719807,53,0.35513031482696533
1777678219.7181382,54,0.3532152473926544
1777678221.65284,55,0.365596204996109
1777678223.6239119,56,0.3365834653377533
1777678225.585406,57,0.35631802678108215
1777678227.5845141,58,0.35931381583213806
1777678229.474035,59,0.3697799742221832
1777678231.2953,60,0.3660508096218109
1777678233.016695,61,0.3584921658039093
1777678234.890046,62,0.34248608350753784
1777678236.927465,63,0.3833756744861603
1777678238.838518,64,0.36203861236572266
1777678240.721421,65,0.3515377640724182
1777678242.4960551,66,0.3476794362068176
1777678244.198657,67,0.3527981638908386
1777678246.20701,68,0.3608844578266144
1777678248.277772,69,0.3416424095630646
1777678250.249322,70,0.346960186958313
1777678252.137574,71,0.36194857954978943
1777678253.913385,72,0.35507434606552124
1777678255.5732732,73,0.3285396993160248
1777678257.5765471,74,0.33745548129081726
1777678259.6126442,75,0.35419514775276184
1777678261.518087,76,0.32860633730888367
1777678263.36807,77,0.3480716645717621
1777678265.1468842,78,0.3552630543708801
1777678266.788567,79,0.37986400723457336
1777678268.7744598,80,0.36115169525146484
1777678270.829611,81,0.32495689392089844
1777678272.733053,82,0.32693183422088623
1777678274.5140522,83,0.34658095240592957
1777678276.1950579,84,0.360528826713562
1777678278.238131,85,0.3637852668762207
1777678280.315362,86,0.3682350814342499
1777678282.2295601,87,0.3866795003414154
1777678284.044267,88,0.3636328876018524
1777678285.7661262,89,0.3410376012325287
1777678287.6766798,90,0.36536550521850586
1777678289.680046,91,0.35147979855537415
1777678291.7731042,92,0.341928631067276
1777678293.74847,93,0.36860617995262146
1777678295.520361,94,0.33238065242767334
1777678297.199872,95,0.3496009409427643
1777678299.251105,96,0.34842342138290405
1777678301.303147,97,0.31533941626548767
1777678303.117928,98,0.3775601387023926
1777678304.9012558,99,0.33151981234550476
1777678306.589844,100,0.32999786734580994
1777678308.5984619,101,0.3408615291118622
1777678310.653642,102,0.3465958833694458
1777678312.5966542,103,0.35862675309181213
1777678314.53105,104,0.3794124722480774
1777678316.2805738,105,0.33364173769950867
1777678317.9837272,106,0.3778040111064911
1777678320.0416791,107,0.3789043426513672
1777678322.1369321,108,0.32758739590644836
1777678324.0451,109,0.3447665274143219
1777678325.9744809,110,0.3527536988258362
1777678327.7970922,111,0.3593895733356476
1777678329.6475031,112,0.36683788895606995
1777678331.686018,113,0.3430711030960083
1777678333.823572,114,0.3703490197658539
1777678335.767495,115,0.35468751192092896
1777678337.510261,116,0.3571736216545105
1777678339.230247,117,0.3314964473247528
1777678341.0288482,118,0.37284156680107117
1777678343.097377,119,0.3711477518081665
