ID,abs_rel,sq_rel,rmse,rmse_log,d1,d2,d3
unlimited,0.137,1.642,7.362,0.224,0.808,0.922,0.968,2.054
proxy_dpth,0.225,4.644,12.738,0.312,0.670,0.844,0.934,2.863
15m,0.054,0.087,0.790,0.076,0.962,0.988,0.996,1.057
25m,0.076,0.246,1.758,0.116,0.925,0.976,0.992,1.475
50m,0.116,0.909,4.545,0.186,0.846,0.944,0.979,1.908
80m,0.137,1.616,7.233,0.222,0.809,0.923,0.969,2.054
