ID,abs_rel,sq_rel,rmse,rmse_log,d1,d2,d3
unlimited,0.152,1.811,7.612,0.245,0.776,0.907,0.960,2.242
proxy_dpth,0.254,5.357,13.764,0.335,0.619,0.825,0.926,3.082
15m,0.060,0.099,0.884,0.084,0.958,0.986,0.996,1.275
25m,0.087,0.289,2.014,0.133,0.908,0.972,0.991,1.787
50m,0.132,1.110,5.261,0.215,0.811,0.927,0.970,2.102
80m,0.152,1.798,7.545,0.245,0.777,0.908,0.960,2.242
