ID,abs_rel,sq_rel,rmse,rmse_log,d1,d2,d3
unlimited,0.151,2.002,7.774,0.242,0.793,0.912,0.960,2.222
proxy_dpth,0.270,6.345,13.871,0.343,0.640,0.818,0.913,3.108
15m,0.055,0.090,0.818,0.078,0.960,0.988,0.996,1.153
25m,0.080,0.269,1.855,0.123,0.917,0.974,0.991,1.625
50m,0.127,1.129,4.949,0.203,0.832,0.935,0.972,2.059
80m,0.150,1.976,7.655,0.241,0.794,0.913,0.961,2.222
