ID,abs_rel,sq_rel,rmse,rmse_log,d1,d2,d3
unlimited,0.364,6.522,10.965,0.392,0.561,0.775,0.887,3.216
proxy_dpth,0.644,21.709,22.456,0.564,0.398,0.591,0.745,4.317
15m,0.115,0.267,1.594,0.149,0.862,0.980,0.994,1.556
25m,0.187,0.914,3.434,0.232,0.707,0.920,0.982,2.016
50m,0.300,3.448,7.525,0.338,0.589,0.812,0.923,2.786
80m,0.364,6.518,10.950,0.392,0.561,0.775,0.887,3.216
