ID,abs_rel,sq_rel,rmse,rmse_log,d1,d2,d3
unlimited,0.161,2.059,7.560,0.245,0.778,0.905,0.960,2.256
proxy_dpth,0.282,6.423,14.482,0.351,0.603,0.809,0.915,3.157
15m,0.059,0.095,0.869,0.083,0.960,0.988,0.996,1.225
25m,0.088,0.303,2.048,0.135,0.904,0.971,0.991,1.696
50m,0.137,1.193,5.154,0.214,0.812,0.927,0.971,2.049
80m,0.161,2.051,7.518,0.245,0.778,0.905,0.961,2.256
