ID,abs_rel,sq_rel,rmse,rmse_log,d1,d2,d3
unlimited,0.305,4.254,9.304,0.319,0.619,0.856,0.940,2.298
proxy_dpth,0.463,12.668,18.449,0.442,0.464,0.711,0.851,3.331
15m,0.137,0.246,1.514,0.145,0.917,0.991,0.998,0.961
25m,0.185,0.669,2.927,0.198,0.763,0.972,0.994,1.349
50m,0.263,2.388,6.429,0.279,0.648,0.890,0.966,1.975
80m,0.305,4.254,9.304,0.319,0.619,0.856,0.940,2.298
