ID,abs_rel,sq_rel,rmse,rmse_log,d1,d2,d3
unlimited,0.142,1.766,7.633,0.233,0.797,0.918,0.964,2.115
proxy_dpth,0.235,5.019,12.913,0.320,0.670,0.839,0.927,2.925
15m,0.054,0.086,0.798,0.076,0.962,0.988,0.996,1.091
25m,0.077,0.249,1.821,0.119,0.921,0.976,0.992,1.544
50m,0.120,0.985,4.771,0.194,0.837,0.941,0.976,1.974
80m,0.142,1.752,7.566,0.232,0.798,0.918,0.965,2.115
