ID,abs_rel,sq_rel,rmse,rmse_log,d1,d2,d3
unlimited,0.279,3.567,8.904,0.301,0.641,0.867,0.950,2.274
proxy_dpth,0.432,11.116,18.045,0.426,0.460,0.715,0.867,3.263
15m,0.141,0.247,1.505,0.148,0.917,0.991,0.998,1.135
25m,0.178,0.605,2.827,0.194,0.785,0.972,0.993,1.496
50m,0.242,1.959,6.079,0.264,0.672,0.901,0.972,1.978
80m,0.279,3.567,8.902,0.301,0.641,0.867,0.950,2.274
