ID,abs_rel,sq_rel,rmse,rmse_log,d1,d2,d3
unlimited,0.270,4.186,13.090,0.340,0.613,0.823,0.921,3.033
proxy_dpth,0.421,12.027,24.247,0.454,0.495,0.710,0.839,4.001
15m,0.095,0.210,1.451,0.135,0.892,0.980,0.993,1.734
25m,0.153,0.715,3.210,0.215,0.752,0.933,0.980,2.169
50m,0.229,2.320,6.776,0.301,0.642,0.853,0.944,2.713
80m,0.270,4.100,9.552,0.339,0.613,0.824,0.921,3.033
