ID,abs_rel,sq_rel,rmse,rmse_log,d1,d2,d3
unlimited,0.283,3.932,8.986,0.304,0.656,0.866,0.946,2.293
proxy_dpth,0.458,12.625,18.424,0.438,0.472,0.711,0.853,3.327
15m,0.125,0.212,1.393,0.135,0.932,0.991,0.998,0.994
25m,0.169,0.594,2.768,0.186,0.804,0.972,0.994,1.391
50m,0.243,2.181,6.166,0.265,0.687,0.899,0.969,1.979
80m,0.283,3.932,8.986,0.304,0.656,0.866,0.946,2.293
