ID,abs_rel,sq_rel,rmse,rmse_log,d1,d2,d3
unlimited,0.170,2.276,8.166,0.260,0.757,0.896,0.955,2.386
proxy_dpth,0.293,6.994,14.875,0.365,0.603,0.794,0.901,3.306
15m,0.058,0.098,0.894,0.084,0.959,0.987,0.995,1.252
25m,0.090,0.319,2.131,0.139,0.897,0.971,0.989,1.701
50m,0.143,1.272,5.423,0.223,0.794,0.921,0.969,2.170
80m,0.169,2.256,8.081,0.259,0.758,0.896,0.956,2.386
