ID,abs_rel,sq_rel,rmse,rmse_log,d1,d2,d3
unlimited,0.143,1.786,7.240,0.224,0.811,0.923,0.968,2.063
proxy_dpth,0.239,5.222,12.987,0.317,0.669,0.841,0.930,2.909
15m,0.053,0.083,0.786,0.075,0.964,0.989,0.997,1.004
25m,0.077,0.248,1.763,0.116,0.924,0.978,0.993,1.421
50m,0.121,1.019,4.585,0.187,0.847,0.944,0.978,1.889
80m,0.143,1.773,7.176,0.223,0.812,0.924,0.968,2.063
