ID,abs_rel,sq_rel,rmse,rmse_log,d1,d2,d3
unlimited,0.290,4.141,9.176,0.311,0.648,0.862,0.943,2.332
proxy_dpth,0.504,14.733,19.303,0.465,0.461,0.689,0.830,3.443
15m,0.129,0.224,1.433,0.139,0.927,0.989,0.998,1.024
25m,0.171,0.605,2.800,0.190,0.798,0.971,0.993,1.401
50m,0.248,2.256,6.239,0.270,0.679,0.898,0.968,1.993
80m,0.290,4.141,9.176,0.311,0.648,0.862,0.943,2.332
