ID,abs_rel,sq_rel,rmse,rmse_log,d1,d2,d3
unlimited,0.153,2.035,8.085,0.248,0.786,0.907,0.958,2.281
proxy_dpth,0.252,5.676,13.851,0.342,0.645,0.819,0.915,3.123
15m,0.057,0.090,0.828,0.080,0.961,0.988,0.996,1.186
25m,0.082,0.281,1.915,0.126,0.914,0.973,0.991,1.702
50m,0.129,1.134,5.013,0.206,0.827,0.932,0.972,2.131
80m,0.152,1.983,7.841,0.245,0.788,0.908,0.959,2.281
