ID,abs_rel,sq_rel,rmse,rmse_log,d1,d2,d3
unlimited,0.278,3.776,8.945,0.300,0.655,0.869,0.948,2.259
proxy_dpth,0.459,12.738,18.590,0.437,0.473,0.707,0.852,3.294
15m,0.123,0.208,1.387,0.132,0.934,0.992,0.998,0.977
25m,0.167,0.586,2.750,0.185,0.803,0.974,0.994,1.373
50m,0.239,2.087,6.105,0.261,0.686,0.903,0.972,1.946
80m,0.278,3.775,8.943,0.300,0.655,0.869,0.948,2.259
