Wall time,Step,Value
1777675596.374264,0,0.35989293456077576
1777675598.048768,1,0.38401755690574646
1777675599.60308,2,0.360686719417572
1777675601.1242151,3,0.368872731924057
1777675602.689127,4,0.3718290328979492
1777675604.2131772,5,0.37387731671333313
1777675605.698951,6,0.3637712895870209
1777675607.172874,7,0.3587375283241272
1777675608.679035,8,0.34589114785194397
1777675610.156908,9,0.3525941073894501
1777675611.613873,10,0.3687916100025177
1777675613.0860329,11,0.3559388518333435
1777675614.574692,12,0.36792832612991333
1777675616.077672,13,0.3585946261882782
1777675617.579503,14,0.3563271462917328
1777675619.076066,15,0.3375600576400757
1777675620.60077,16,0.35674145817756653
1777675622.124217,17,0.3638010323047638
1777675623.6490781,18,0.3562840521335602
1777675625.1429682,19,0.3683890402317047
1777675626.667389,20,0.35293489694595337
1777675628.151409,21,0.3609526455402374
1777675629.615183,22,0.3488360643386841
1777675631.101849,23,0.35800451040267944
1777675632.627989,24,0.3591354191303253
1777675634.094676,25,0.37161991000175476
1777675635.583576,26,0.3782036602497101
1777675637.068652,27,0.33918628096580505
1777675638.610986,28,0.34391552209854126
1777675640.07952,29,0.36948105692863464
1777675641.5227141,30,0.35165199637413025
1777675643.003068,31,0.3468067944049835
1777675644.5088131,32,0.34494513273239136
1777675645.970119,33,0.3474370837211609
1777675647.4582698,34,0.3538975119590759
1777675648.973286,35,0.36086025834083557
1777675650.468308,36,0.37665218114852905
1777675651.9460921,37,0.35671958327293396
1777675653.4664562,38,0.3646010756492615
1777675654.994866,39,0.365736186504364
1777675656.486445,40,0.3583022356033325
1777675657.962971,41,0.35878637433052063
1777675659.459418,42,0.3725823163986206
1777675660.973974,43,0.37456995248794556
1777675662.4330912,44,0.3722405731678009
1777675663.839991,45,0.36636048555374146
1777675665.4487062,46,0.35529786348342896
1777675666.98975,47,0.35842588543891907
1777675668.521852,48,0.35162603855133057
1777675670.0118148,49,0.3727671504020691
1777675671.509278,50,0.36798131465911865
1777675672.9793322,51,0.36028555035591125
1777675674.472714,52,0.4114392399787903
1777675675.960905,53,0.36968886852264404
1777675677.460442,54,0.38041892647743225
1777675678.933141,55,0.36380940675735474
1777675680.427001,56,0.35982513427734375
1777675682.412937,57,0.38229498267173767
1777675683.8881679,58,0.36088600754737854
1777675685.320919,59,0.38886508345603943
1777675686.845946,60,0.3620033264160156
1777675688.4422789,61,0.3531324565410614
1777675689.854293,62,0.36994898319244385
1777675691.3537862,63,0.38302624225616455
1777675692.81192,64,0.37498757243156433
1777675694.260886,65,0.3604740500450134
1777675695.6898172,66,0.3628212809562683
1777675697.2208672,67,0.3550710678100586
1777675698.6880682,68,0.35933607816696167
1777675700.177782,69,0.3925747871398926
1777675701.6594791,70,0.3709952235221863
1777675703.145011,71,0.4029572606086731
1777675704.6280901,72,0.3592437505722046
1777675706.0990489,73,0.34783369302749634
1777675707.584764,74,0.3526178002357483
1777675709.063374,75,0.3746533691883087
1777675710.562028,76,0.3525645434856415
1777675712.0928361,77,0.35021811723709106
1777675713.654798,78,0.3468630909919739
1777675715.156378,79,0.3681883215904236
1777675716.6433642,80,0.3553498685359955
1777675718.1335008,81,0.3783659040927887
1777675719.633447,82,0.3518807590007782
1777675721.1544619,83,0.35638147592544556
1777675722.667496,84,0.36696937680244446
1777675724.188907,85,0.36238008737564087
1777675725.684853,86,0.3833361864089966
1777675727.159746,87,0.38688135147094727
1777675728.680465,88,0.37015050649642944
1777675730.1987681,89,0.3785321116447449
1777675731.726107,90,0.36027371883392334
1777675733.192534,91,0.3610737919807434
1777675734.822804,92,0.3943246603012085
1777675736.292369,93,0.370328813791275
1777675737.921328,94,0.3524434268474579
1777675739.402251,95,0.3673381805419922
1777675740.990975,96,0.39598405361175537
1777675742.517308,97,0.3679848313331604
1777675744.051062,98,0.3699040114879608
1777675746.171838,99,0.36751729249954224
1777675747.958646,100,0.34653541445732117
1777675749.5144582,101,0.36627230048179626
1777675751.062592,102,0.3616641163825989
1777675752.64709,103,0.3570350408554077
1777675754.186254,104,0.35642850399017334
1777675755.71266,105,0.3604612946510315
1777675757.219269,106,0.36388495564460754
1777675758.665052,107,0.3884223401546478
1777675760.1598809,108,0.375919371843338
1777675761.773184,109,0.3661525845527649
1777675763.2259278,110,0.3735063970088959
1777675764.789355,111,0.3980166018009186
1777675766.390709,112,0.3664124608039856
1777675768.345696,113,0.351992666721344
1777675770.367423,114,0.3741289973258972
1777675771.963611,115,0.3581830561161041
1777675773.594232,116,0.3987342417240143
1777675775.02998,117,0.36761921644210815
1777675776.514217,118,0.3597930073738098
1777675778.241102,119,0.3659323453903198
