ID,abs_rel,sq_rel,rmse,rmse_log,d1,d2,d3
unlimited,0.329,4.953,9.768,0.338,0.599,0.841,0.930,2.426
proxy_dpth,0.544,16.301,19.983,0.486,0.434,0.667,0.817,3.498
15m,0.143,0.263,1.559,0.151,0.903,0.991,0.998,1.003
25m,0.193,0.725,3.031,0.206,0.744,0.967,0.993,1.407
50m,0.281,2.718,6.695,0.293,0.628,0.877,0.959,2.065
80m,0.329,4.953,9.768,0.338,0.599,0.841,0.930,2.426
