ID,abs_rel,sq_rel,rmse,rmse_log,d1,d2,d3
unlimited,0.155,2.109,8.015,0.246,0.789,0.911,0.960,2.258
proxy_dpth,0.259,6.022,13.846,0.341,0.647,0.822,0.916,3.116
15m,0.056,0.092,0.826,0.079,0.959,0.988,0.997,1.152
25m,0.082,0.286,1.882,0.124,0.915,0.975,0.991,1.647
50m,0.130,1.191,4.919,0.203,0.831,0.936,0.973,2.110
80m,0.154,2.048,7.715,0.242,0.791,0.913,0.962,2.258
