ID,abs_rel,sq_rel,rmse,rmse_log,d1,d2,d3
unlimited,0.274,4.252,10.377,0.343,0.613,0.823,0.919,3.053
proxy_dpth,0.422,11.997,18.802,0.456,0.503,0.712,0.838,4.022
15m,0.096,0.213,1.458,0.136,0.890,0.981,0.994,1.724
25m,0.154,0.713,3.192,0.214,0.752,0.934,0.981,2.177
50m,0.232,2.386,6.823,0.303,0.642,0.852,0.942,2.738
80m,0.273,4.208,9.620,0.342,0.613,0.823,0.919,3.053
