ID,abs_rel,sq_rel,rmse,rmse_log,d1,d2,d3
unlimited,0.171,2.371,8.229,0.262,0.760,0.896,0.954,2.407
proxy_dpth,0.286,6.785,14.643,0.362,0.613,0.799,0.902,3.275
15m,0.057,0.094,0.864,0.082,0.960,0.987,0.996,1.247
25m,0.088,0.309,2.081,0.135,0.902,0.972,0.990,1.712
50m,0.143,1.312,5.445,0.223,0.798,0.922,0.969,2.187
80m,0.170,2.355,8.169,0.261,0.761,0.897,0.954,2.407
