ID,abs_rel,sq_rel,rmse,rmse_log,d1,d2,d3
unlimited,0.293,4.437,9.623,0.319,0.645,0.851,0.934,2.445
proxy_dpth,0.524,16.073,20.501,0.484,0.447,0.658,0.807,3.607
15m,0.119,0.208,1.386,0.132,0.931,0.989,0.997,1.074
25m,0.163,0.577,2.770,0.186,0.802,0.970,0.993,1.428
50m,0.243,2.251,6.372,0.270,0.678,0.890,0.965,2.044
80m,0.293,4.437,9.623,0.319,0.645,0.851,0.934,2.445
