ID,abs_rel,sq_rel,rmse,rmse_log,d1,d2,d3
unlimited,0.324,4.559,9.384,0.330,0.595,0.852,0.937,2.330
proxy_dpth,0.505,14.375,18.817,0.462,0.452,0.703,0.839,3.399
15m,0.156,0.298,1.651,0.161,0.882,0.991,0.998,1.004
25m,0.203,0.755,3.050,0.212,0.731,0.966,0.993,1.405
50m,0.282,2.605,6.530,0.291,0.622,0.885,0.962,2.013
80m,0.324,4.559,9.383,0.330,0.595,0.852,0.937,2.330
