ID,abs_rel,sq_rel,rmse,rmse_log,d1,d2,d3
unlimited,0.152,2.043,7.814,0.244,0.790,0.909,0.960,2.229
proxy_dpth,0.256,5.841,13.607,0.338,0.648,0.823,0.918,3.069
15m,0.055,0.091,0.825,0.079,0.960,0.987,0.996,1.167
25m,0.080,0.277,1.876,0.124,0.917,0.973,0.990,1.631
50m,0.128,1.164,5.003,0.205,0.830,0.933,0.972,2.071
80m,0.151,2.035,7.775,0.244,0.791,0.910,0.961,2.229
