ID,abs_rel,sq_rel,rmse,rmse_log,d1,d2,d3
unlimited,0.294,4.324,9.358,0.317,0.635,0.855,0.939,2.399
proxy_dpth,0.500,14.592,19.407,0.465,0.451,0.683,0.834,3.473
15m,0.120,0.213,1.406,0.133,0.924,0.989,0.998,1.049
25m,0.169,0.630,2.860,0.191,0.785,0.968,0.993,1.458
50m,0.249,2.340,6.368,0.274,0.666,0.890,0.965,2.055
80m,0.294,4.324,9.358,0.317,0.635,0.855,0.939,2.399
